Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
Mario,60,60
Mario,50,50
Mario,40,40
Mario,30,30
Mario,20,20
Mario,10,10
